c#paNtA	N_NNP	B-NP	1	paNt	paN	aNtA	NtA	{NF}	B-PLACE	paNtA,N,,,,,
peVrumpAlAnYa	JJ	B-NP	0	peVr	peV	AnYa	nYa	o	o	peVrumpAlAnYa,ADJ,,,,,
payaNikalY	N_NN	I-NP	0	paya	pay	kalY	alY	o	o	payaNi,N,,pl,,,
wUkkawwil	N_NN	B-NP	0	wUkk	wUk	wwil	wil	o	o	wUkkam,N,il-LOC,,,,
irunwanYar	V_VM_VF	B-VGF	0	irun	iru	nYar	Yar	o	o	iru,V,PAST,pl,3,c,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

c#makopA	N_NNP	B-NP	1	mako	mak	kopA	opA	{RP}	B-PLACE	makopA,unk,,,,,,
marYrYum	CC_CCD	B-CCP	0	marY	mar	rYum	Yum	o	o	marYrYum,CONJ,,,,,
kulpAkaw	RB	B-RBP	0	kulp	kul	Akaw	kaw	o	o	kulpAkaw,unk,,,,,,
c#reVyil	N_NN	B-NP	0	reVy	reV	Vyil	yil	o	B-LOCOMOTIVE	reVyil,N,,,,,
nilEyafkalYukku	N_NN	I-NP	0	nilE	nil	ukku	kku	o	o	nilEyam,N,ukku-DAT,pl,,,
itEye	PSP	B-BLK	0	itEy	itE	tEye	Eye	o	o	itE,N,,,,,
ulYlYa	PSP	B-BLK	0	ulYl	ulY	YlYa	lYa	o	o	ulYlYa,PSP,,,,,
cupA	N_NN	B-NP	0	0	cup	0	upA	o	o	cupA,N,,,,f,
kirAmappakuwiyil	N_NN	I-NP	0	kirA	kir	iyil	yil	{/RP}	o	kirAmappakuwi,N,il-LOC,,,,
cumAr	RB	B-RBP	0	cumA	cum	umAr	mAr	{RP}	o	cumAr,N,,,,,
c#2	QT_QTC	B-NP	0	0	0	0	0	o	B-PERIOD	2,num,,,,,,
maNiyalYavil	N_NN	I-NP	0	maNi	maN	avil	vil	o	I-PERIOD	maNiyalYavu,N,il-LOC,,,,
c#reVyil	N_NN	B-NP	0	reVy	reV	Vyil	yil	o	B-LOCOMOTIVE	reVyil,N,,,,,
ceVnYrYapowu	V_VM_VNF_RP_PSP	B-VGNF	0	ceVn	ceV	powu	owu	{/RP}	o	ceVl,V,PAST,,,,RP-PSP-PSP
witIreVnYa	RB	B-RBP	0	witI	wit	VnYa	nYa	{MCL}	o	witIreVnYa,ADV,,,,,
payafkara	JJ	B-NP	0	paya	pay	kara	ara	o	o	payafkaram,N,a-ADJ,,,,
cawwawwutanY	N_NN	I-NP	0	caww	caw	tanY	anY	o	o	cawwam,N,utanY-SOC,,,,
watam	N_NN	B-NP	0	wata	wat	atam	tam	o	o	watam,N,,,,,
puraNtawu	V_VM_VF	B-VGF	0	pura	pur	tawu	awu	o	o	puralY,V,PAST,sg,3,n,RP-PRP
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

c#3	QT_QTC	B-NP	0	0	0	0	0	{MCL}	B-COUNT	3,num,,,,,,
e.ci.	N_NN	I-NP	0	e.ci	e.c	.ci.	ci.	o	o	e.ci.,unk,,,,,,
peVttikalY	N_NN	I-NP	0	peVt	peV	kalY	alY	o	o	peVtti,N,,pl,,,
,	RD_PUNC	I-NP	0	0	0	0	0	o	o	&comma;,punc,,,,,
c#3	QT_QTC	B-NP	0	0	0	0	0	o	B-COUNT	3,num,,,,,,
poVwuppeVttikalY	N_NN	I-NP	0	poVw	poV	kalY	alY	o	o	poVwuppeVttikalY,unk,,,,,,
eVnYa	CC_CCS	B-CCP	0	eVnY	eVn	VnYa	nYa	o	o	eVnYa,ADV,,,,,
c#reVyilinY	N_NN	B-NP	0	reVy	reV	linY	inY	o	B-LOCOMOTIVE	reVyil,N,inY-GEN,,,,
katEci	N_NN	I-NP	0	katE	kat	tEci	Eci	o	o	katEci,N,,,,,
c#6	QT_QTC	B-NP	0	0	0	0	0	o	B-COUNT	6,num,,,,,,
peVttikalY	N_NN	I-NP	0	peVt	peV	kalY	alY	o	o	peVtti,N,,pl,,,
waNtavAlYawwE	N_NN	I-NP	0	waNt	waN	awwE	wwE	o	o	waNtavAlYam,N,E-ACC,,,,
vittu	V_VM_VNF_VBN	B-VGF	0	vitt	vit	ittu	ttu	o	o	vitu,V,,,,,VBP
vilaki	V_VM_VNF_VBN	I-VGF	0	vila	vil	laki	aki	o	o	vilaku,V,,,,,VBP
vipawwukkulYlYAyinYa	V_VM_VF	I-VGF	0	vipa	vip	inYa	nYa	o	o	vipawwukkulYlYAyinYa,unk,,,,,,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

maruwwuvakkulYYu	N_NN	B-NP	0	maru	mar	lYYu	YYu	{MCL}	o	maruwwuvakkulYYu,unk,,,,,,
ceVnYrYawu	V_VM_VF	B-VGF	0	ceVn	ceV	Yawu	awu	o	o	ceVl,V,PAST,sg,3,n,RP-PRP
iwanYAl	CC_CCS	B-CCP	0	iwan	iwa	nYAl	YAl	o	o	iwanYAl,CONJ,,,,,
anwa	DM_DMR	B-NP	0	0	anw	0	nwa	o	o	anwa,ADJ,,,,,
peVttikalY	N_NN	I-NP	0	peVt	peV	kalY	alY	o	o	peVtti,N,,pl,,,
palawwa	JJ	B-NP	0	pala	pal	awwa	wwa	o	o	palawwa,ADJ,,,,,
cewamatEnwanYa	V_VM_VF	B-VGF	0	cewa	cew	anYa	nYa	o	o	cewamatE,V,PAST,pl,3,c,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

awil	PR_PRP	B-NP	0	0	awi	0	wil	{RP}	o	awu,PN,il-LOC,,,,
irunwa	V_VM_VNF_RP	B-VGNF	0	irun	iru	unwa	nwa	o	o	iru,V,PAST,,,,RP
payaNikalY	N_NN	B-NP	0	paya	pay	kalY	alY	{MCL}	o	payaNi,N,,pl,,,
anYEvarum	N_NN	I-NP	0	anYE	anY	arum	rum	{/RP}	o	anYEvarum,N,,,,,
wafkalYE	PR_PRP	B-NP	0	wafk	waf	alYE	lYE	o	o	wafkalY,PN,E-ACC,,,,
kAppArYrYumArYu	RB	B-VGF	0	kApp	kAp	ArYu	rYu	o	o	kAppArYrYu,V,FUTURE,,,,RP-PSP-PSP
alarYinYar	V_VM_VF	I-VGF	0	alar	ala	nYar	Yar	o	o	alarYu,V,PAST,pl,3,c,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

inwa	DM_DMR	B-NP	0	0	inw	0	nwa	{NF}	o	inwa,ADJ,,,,,
koVtiya	JJ	I-NP	0	koVt	koV	tiya	iya	o	o	koVtiya,ADJ,,,,,
vipawwil	N_NN	I-NP	0	vipa	vip	wwil	wil	o	o	vipawwu,N,il-LOC,,,,
peVttikalYinY	N_NN	B-NP	0	peVt	peV	YinY	inY	o	o	peVtti,N,inY-GEN,pl,,,
itipAtukalYil	N_NN	I-NP	0	itip	iti	lYil	Yil	o	o	itipAtu,N,il-LOC,pl,,,
cikki	V_VM_VNF_VBN	B-VGNF	0	cikk	cik	ikki	kki	{/NF}	o	cikku,V,,,,,VBP
c#52	QT_QTC	B-NP	0	0	0	0	0	{MCL}	B-COUNT	52,num,,,,,,
payaNikalY	N_NN	I-NP	0	paya	pay	kalY	alY	o	o	payaNi,N,,pl,,,
kAyamatEnwanYar	V_VM_VF	B-VGF	0	kAya	kAy	nYar	Yar	o	o	kAyamatE,V,PAST,pl,3,c,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

c#reVyil	N_NN	B-NP	0	reVy	reV	Vyil	yil	{RP}	B-LOCOMOTIVE	reVyil,N,,,,,
watam	N_NN	I-NP	0	wata	wat	atam	tam	o	o	watam,N,,,,,
puraNta	N_NN	B-NP	0	pura	pur	aNta	Nta	o	o	puralY,V,PAST,,,,RP
wakaval	N_NN	I-NP	0	waka	wak	aval	val	o	o	wakaval,N,,,,,
arYinwawum	V_VM_VNF_RP_PRP	B-VGNF	0	arYi	arY	awum	wum	{/RP}	o	arYi,V,PAST,,,,RP-PRP
w#vatakku	N_NNP	B-NP	1	vata	vat	akku	kku	{MCL}	B-STATE	vatakku,N,,,,,
c#mawwiya	JJ	B-NP	0	maww	maw	wiya	iya	o	B-GOV	mawwiya,ADJ,,,,,
reVyilveyinY	N_NN	I-NP	0	reVy	reV	yinY	inY	o	I-GOV	reVyilve,N,inY-GEN,,,,
uyar	N_NN	B-NP	0	0	uya	0	yar	o	o	uyar,ADJ,,,,,
awikArikalY	N_NN	I-NP	0	awik	awi	kalY	alY	o	o	awikAri,N,,pl,,,
campava	N_NN	B-NP	0	camp	cam	pava	ava	o	o	campavam,N,a-ADJ,,,,
itawwukku	N_NN	I-NP	0	itaw	ita	ukku	kku	o	o	itam,N,ukku-DAT,,,,
virEnwanYar	V_VM_VF	B-VGF	0	virE	vir	nYar	Yar	o	o	virE,V,PAST,pl,3,c,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

melum	CC_CCD	B-CCP	0	melu	mel	elum	lum	{MCL}	o	melum,ADV,,,,,
payaNikalYE	N_NN	B-NP	0	paya	pay	alYE	lYE	o	o	payaNi,N,E-ACC,pl,,,
mItpawarYkAka	RB	B-RBP	0	mItp	mIt	kAka	Aka	o	o	mIlY,V,FUTURE,,,,RP-PRP
mItpukkulYYuvinYar	N_NN	B-NP	0	mItp	mIt	nYar	Yar	o	o	mItpukkulYYuvinYar,N,,,,,
atafkiya	JJ	B-NP	0	ataf	ata	kiya	iya	o	o	atafku,V,PAST,,,,RP
cirYappu	N_NN	I-NP	0	cirY	cir	appu	ppu	o	o	cirYappu,N,,,,,
c#reVyil	N_NN	B-NP	0	reVy	reV	Vyil	yil	o	B-LOCOMOTIVE	reVyil,N,,,,,
oVnYrYum	N_NN	I-NP	0	oVnY	oVn	rYum	Yum	o	o	oVnYrYu,N,,,,,
afku	RB	B-VGF	0	0	afk	0	fku	o	o	afku,ADV,,,,,
utanYatiyAka	RB	I-VGF	0	utan	uta	yAka	Aka	o	o	utanYatiyAka,ADV,,,,,
anYuppi	V_VM_VNF_VBN	I-VGF	0	anYu	anY	uppi	ppi	o	o	anYuppu,V,,,,,VBP
vEkkappattawu	V_VM_VF	I-VGF	0	vEkk	vEk	tawu	awu	o	o	vEkkappatu,V,PAST,sg,3,n,RP-PRP
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

inwa	DM_DMR	B-NP	0	0	inw	0	nwa	{RP}	o	inwa,ADJ,,,,,
vipawwu	N_NN	I-NP	0	vipa	vip	awwu	wwu	o	o	vipawwu,N,,,,,
kurYiwwu	PSP	B-BLK	0	kurY	kur	iwwu	wwu	o	o	kurYiwwu,ADV,,,,,
wakaval	N_NN	B-NP	0	waka	wak	aval	val	o	o	wakaval,N,,,,,
arYinwa	V_VM_VNF_RP	B-VGNF	0	arYi	arY	inwa	nwa	o	o	arYi,V,PAST,,,,RP
muwal–manwiri	N_NN	B-NP	0	muwa	muw	wiri	iri	{/RP}	B-TITLE	muwal–manwiri,N,,,,,
yoki	N_NNP	B-NP	1	0	yok	0	oki	o	B-INDIVIDUAL	yoki,N,,,,,
AwiwyanAw	N_NNP	I-NP	1	Awiw	Awi	anAw	nAw	o	I-INDIVIDUAL	AwiwyanAw,N,,,,m,
,	RD_PUNC	I-NP	0	0	0	0	0	o	o	&comma;,punc,,,,,
c#mAnila	N_NN	B-NP	0	mAni	mAn	nila	ila	o	B-GOV	mAnilam,N,a-ADJ,,,,
cukAwArawwurYE	N_NN	I-NP	0	cukA	cuk	urYE	rYE	o	I-GOV	cukAwArawwurYE,N,,,,,
c#manwiriyE	N_NN	I-NP	0	manw	man	riyE	iyE	o	B-TITLE	manwiri,N,E-ACC,,,,
campava	N_NN	B-NP	0	camp	cam	pava	ava	o	o	campavam,N,a-ADJ,,,,
itawwukku	N_NN	I-NP	0	itaw	ita	ukku	kku	o	o	itam,N,ukku-DAT,,,,
anYuppivEwwAr	V_VM_VF	B-VGF	0	anYu	anY	wwAr	wAr	o	o	anYuppivE,V,PAST,sg,3,c,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

melum	CC_CCD	B-CCP	0	melu	mel	elum	lum	{MCL}	o	melum,ADV,,,,,
c#21	QT_QTC	B-NP	0	0	0	0	0	o	B-COUNT	21,num,,,,,,
AmpulanYcukalY	N_NN	I-NP	0	Ampu	Amp	kalY	alY	o	o	AmpulanYcu,N,,pl,,,
,	RD_PUNC	I-NP	0	0	0	0	0	o	o	&comma;,punc,,,,,
c#30	QT_QTC	B-NP	0	0	0	0	0	o	B-COUNT	30,num,,,,,,
c#tAktarkalY	N_NN	I-NP	0	tAkt	tAk	kalY	alY	o	B-TITLE	tAktar,N,,pl,,,
koVNta	V_VM_VNF_RP	B-VGNF	0	koVN	koV	VNta	Nta	o	o	koVlY,V,PAST,,,,RP
maruwwuvakkulYYuvum	N_NN	B-NP	0	maru	mar	uvum	vum	o	o	maruwwuvakkulYYuvum,unk,,,,,,
vipawwu	N_NN	I-NP	0	vipa	vip	awwu	wwu	o	o	vipawwu,N,,,,,
natanwa	V_VM_VNF_RP	B-VGNF	0	nata	nat	anwa	nwa	o	o	nata,V,PAST,,,,RP
pakuwikku	N_NN	B-NP	0	paku	pak	ikku	kku	o	o	pakuwi,N,kku-DAT,,,,
anYuppi	V_VM_VNF_VBN	B-VGF	0	anYu	anY	uppi	ppi	o	o	anYuppu,V,,,,,VBP
vEkkappattawu	V_VM_VF	I-VGF	0	vEkk	vEk	tawu	awu	o	o	vEkkappatu,V,PAST,sg,3,n,RP-PRP
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

c#10	QT_QTC	B-NP	0	0	0	0	0	{RP}	B-COUNT	10,num,,,,,,
per	N_NN	I-NP	0	0	0	0	0	o	o	per,N,,,,,
kavalEkkitam	N_NN	I-NP	0	kava	kav	itam	tam	o	o	kavalEkkitam,N,,,,,
c#reVyil	N_NN	B-NP	0	reVy	reV	Vyil	yil	o	B-LOCOMOTIVE	reVyil,N,,,,,
vipawwu	N_NN	I-NP	0	vipa	vip	awwu	wwu	o	o	vipawwu,N,,,,,
natanwa	V_VM_VNF_RP	B-VGNF	0	nata	nat	anwa	nwa	o	o	nata,V,PAST,,,,RP
pakuwiyil	N_NN	B-NP	0	paku	pak	iyil	yil	{/RP}	o	pakuwi,N,il-LOC,,,,
mItpuppaNikalYE	N_NN	B-NP	0	mItp	mIt	alYE	lYE	{NF}	o	mItpuppaNi,N,E-ACC,pl,,,
woVtafkiya	V_VM_VNF_RP	B-VGNF	0	woVt	woV	kiya	iya	o	o	woVtafku,V,PAST,,,,RP
polIcAr	N_NN	B-NP	0	polI	pol	IcAr	cAr	o	B-GOV	polIcAr,N,,,,,
marYrYum	CC_CCD	B-CCP	0	marY	mar	rYum	Yum	o	o	marYrYum,CONJ,,,,,
mItpukkulYYuvinYar	N_NN	B-NP	0	mItp	mIt	nYar	Yar	o	o	mItpukkulYYuvinYar,N,,,,,
,	RD_PUNC	I-NP	0	0	0	0	0	o	o	&comma;,punc,,,,,
vipawwil	N_NN	B-NP	0	vipa	vip	wwil	wil	o	o	vipawwu,N,il-LOC,,,,
kAyamatEnwavarkalYE	N_NN	B-NP	0	kAya	kAy	alYE	lYE	o	o	kAyamatEnwavar,N,E-ACC,pl,,,
mIttu	V_VM_VNF_VBN	B-VGNF	0	mItt	mIt	Ittu	ttu	{/NF}	o	mIlY,V,,,,,VBP
maruwwuvamanYEkku	N_NN	B-NP	0	maru	mar	Ekku	kku	{MCL}	o	maruwwuvamanYE,N,kku-DAT,,,,
anYuppi	V_VM_VNF_VBN	B-VGF	0	anYu	anY	uppi	ppi	o	o	anYuppu,V,,,,,VBP
vEwwanYar	V_VM_VF	I-VGF	0	vEww	vEw	nYar	Yar	o	o	vE,V,PAST,pl,3,c,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

iwil	PR_PRP	B-NP	0	0	iwi	0	wil	{MCL}	o	iwu,PN,il-LOC,,,,
c#10	QT_QTC	B-NP	0	0	0	0	0	o	B-COUNT	10,num,,,,,,
perinY	N_NN	I-NP	0	peri	per	rinY	inY	o	o	per,N,inY-GEN,,,,
nilEmE	N_NN	I-NP	0	nilE	nil	lEmE	EmE	o	o	nilEmE,N,,,,,
kavalEkkitamAka	RB	B-VGF	0	kava	kav	mAka	Aka	o	o	kavalEkkitam,N,Aka-ADV,,,,
irunwawu	V_VM_VF	I-VGF	0	irun	iru	wawu	awu	o	o	iru,V,PAST,sg,3,n,RP-PRP
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

avarkalY	PR_PRP	B-NP	0	avar	ava	kalY	alY	{MCL}	o	avar,PN,,pl,,mf,
makopAvil	N_NN	B-NP	0	mako	mak	Avil	vil	o	o	makopAvil,unk,,,,,,
ulYlYa	PSP	B-BLK	0	ulYl	ulY	YlYa	lYa	o	o	ulYlYa,PSP,,,,,
oVru	QT_QTC	B-NP	0	0	oVr	0	Vru	o	o	oVru,ADJ,,,,,
wanYiyAr	N_NN	I-NP	0	wanY	wan	iyAr	yAr	o	o	wanYiyAr,N,,,,,
maruwwuvamanYEyil	N_NN	I-NP	0	maru	mar	Eyil	yil	o	o	maruwwuvamanYE,N,il-LOC,,,,
anYumawikkappattu	V_VM_VNF_VBN	B-VGF	0	anYu	anY	attu	ttu	o	o	anYumawi,V,,,,,VBP
ulYlYanYar	V_VM_VF	I-VGF	0	ulYl	ulY	nYar	Yar	o	o	ulY,V,PRESENT,pl,3,c,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

inwa	DM_DMR	B-NP	0	0	inw	0	nwa	{MCL}	o	inwa,ADJ,,,,,
vipawwu	N_NN	I-NP	0	vipa	vip	awwu	wwu	o	o	vipawwu,N,,,,,
kurYiwwu	PSP	B-BLK	0	kurY	kur	iwwu	wwu	o	o	kurYiwwu,ADV,,,,,
reVyilve	N_NN	B-NP	0	reVy	reV	ilve	lve	o	B-LOCOMOTIVE	reVyilve,N,,,,,
uyar	N_NN	I-NP	0	0	uya	0	yar	o	o	uyar,ADJ,,,,,
awikArikalY	N_NN	I-NP	0	awik	awi	kalY	alY	o	o	awikAri,N,,pl,,,
vicAraNEyE	N_NN	B-NP	0	vicA	vic	NEyE	EyE	o	o	vicAraNE,N,E-ACC,,,,
woVtafki	V_VM_VNF_VBN	B-VGF	0	woVt	woV	afki	fki	o	o	woVtafku,V,,,,,VBP
ulYlYanYar	V_VM_VF	I-VGF	0	ulYl	ulY	nYar	Yar	o	o	ulY,V,PRESENT,pl,3,c,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

makopAvukku	N_NNP	B-NP	1	mako	mak	ukku	kku	{MCL}	B-INDIVIDUAL	makopAvukku,unk,,,,,,
aruke	RB	B-RBP	0	aruk	aru	ruke	uke	o	o	aruku,N,,,,,
ulYlYa	PSP	B-BLK	0	ulYl	ulY	YlYa	lYa	o	o	ulYlYa,PSP,,,,,
kAnYpUril	N_NNP	B-NP	1	kAnY	kAn	Uril	ril	o	B-LOCATION	kAnYpUr,N,il-LOC,,,,
katanwa	JJ	B-NP	0	kata	kat	anwa	nwa	o	o	katanwa,ADJ,,,,,
c#cila	QT_QTF	I-NP	0	0	cil	0	ila	o	#B-PERIOD	cila,ADJ,,,,,
mAwafkalYukku	N_NN	I-NP	0	mAwa	mAw	ukku	kku	o	#I-PERIOD	mAwam,N,ukku-DAT,pl,,,
munY	N_NST	B-NP	0	0	mun	0	unY	o	o	munY,N,,,,,
w#2	QT_QTC	B-NP	0	0	0	0	0	o	B-PERIOD	2,num,,,,,,
c#reVyilkalY	N_NN	I-NP	0	reVy	reV	kalY	alY	o	B-LOCOMOTIVE	reVyil,N,,pl,,,
watam	N_NN	I-NP	0	wata	wat	atam	tam	o	o	watam,N,,,,,
puraNtawil	V_VM_VNF_RP_PRP	B-VGNF	0	pura	pur	awil	wil	o	o	puralY,V,PAST,,,,RP-PRP
150–kkum	V_VM_VNF_RP	I-VGNF	0	150–	150	kkum	kum	o	o	150–kkum,num,,,,,,
merYpatta	JJ	B-NP	0	merY	mer	atta	tta	o	o	merYpatta,ADJ,,,,,
payaNikalY	N_NN	I-NP	0	paya	pay	kalY	alY	o	o	payaNi,N,,pl,,,
uyirilYYanwawu	V_VM_VF	B-VGF	0	uyir	uyi	wawu	awu	o	o	uyirilYYa,V,PAST,sg,3,n,RP-PRP
kurYippitawwakkawu	V_VM_VF	I-VGF	0	kurY	kur	kawu	awu	o	o	kurYippitu,V,,,,,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

